"Original_Applicant","Cited_Applicant","weight","distance"
"FUJITSU LTD","Takiguchi, Kiyoaki",1,1
"FUJITSU LTD","TAMAI FUMIYOSHI",4,0.25
"FUJITSU LTD","TAMAI SEIICHIRO",16,0.0625
"FUJITSU LTD","Tamai, Seiichiro",4,0.25
"FUJITSU LTD","TAMURA SATOSHI",3,0.333333333333333
"FUJITSU LTD","TAMURA SEISAKUSHO CO LTD",1,1
"FUJITSU LTD","TANABE MASATOSHI",1,1
"FUJITSU LTD","TANABE SHIGEKI",3,0.333333333333333
"FUJITSU LTD","Tanabe, Shigeki",3,0.333333333333333
"FUJITSU LTD","TANAKA HIROSHI",1,1
"FUJITSU LTD","TANAKA HIROYUKI",2,0.5
"FUJITSU LTD","TANAKA JIRO",1,1
"FUJITSU LTD","TANAKA JUNYA",1,1
"FUJITSU LTD","TANAKA KENICHI",1,1
"FUJITSU LTD","TANAKA RYUICHI",2,0.5
"FUJITSU LTD","TANAKA TOSHIAKI",1,1
"FUJITSU LTD","TANAKA YUICHIRO",3,0.333333333333333
"FUJITSU LTD","Tanaka, Hideki",1,1
"FUJITSU LTD","Tanaka, Hiroyuki",6,0.166666666666667
"FUJITSU LTD","Tanaka, Yuichiro",7,0.142857142857143
"FUJITSU LTD","Tang, Chaoying",4,0.25
"FUJITSU LTD","TANIAI MICHIHIRO",1,1
"FUJITSU LTD","TANIDA KOJI",2,0.5
"FUJITSU LTD","TANIGUCHI KIYOHIDE",2,0.5
"FUJITSU LTD","TANIGUCHI KOSHIRO",1,1
"FUJITSU LTD","Taniguchi, Kiyohide",4,0.25
"FUJITSU LTD","TANITSU NOBUO",2,0.5
"FUJITSU LTD","TANNO TADASHI",3,0.333333333333333
"FUJITSU LTD","Tarian LLC",1,1
"FUJITSU LTD","TATEISHI SHUNZO",1,1
"FUJITSU LTD","Tatsukawa, Hirofumi",1,1
"FUJITSU LTD","Tavares, Clifford",1,1
"FUJITSU LTD","TBS Holding AG",1,1
"FUJITSU LTD","TEAC CORP",1,1
"FUJITSU LTD","TECHNOART:KK",1,1
"FUJITSU LTD","TEKUSUPIAA:KK",1,1
"FUJITSU LTD","Tellez, Mark B.",2,0.5
"FUJITSU LTD","TERADA TOSHIHITO",1,1
"FUJITSU LTD","Terada, Katsuya",3,0.333333333333333
"FUJITSU LTD","Thales",1,1
"FUJITSU LTD","ThC6rnblom, Hans",1,1
"FUJITSU LTD","The Domain Standard, Inc.",1,1
"FUJITSU LTD","The Hong Kong Polytechnic University",9,0.111111111111111
"FUJITSU LTD","The Phoenix Group, Inc.",2,0.5
"FUJITSU LTD","The United States of America as represented by the National Security",1,1
"FUJITSU LTD","The University of Maryland, College Park",1,1
"FUJITSU LTD","Thomopoulos, Stelios C. A.",1,1
"FUJITSU LTD","TIBERG MARTIN",1,1
"FUJITSU LTD","Tibor, Joan",1,1
"FUJITSU LTD","TING DAVID M.T.",2,0.5
"FUJITSU LTD","TODA YUKITOSHI",3,0.333333333333333
"FUJITSU LTD","TOGAWA SHINSUKE",3,0.333333333333333
"FUJITSU LTD","TOKAI RIKA CO LTD",6,0.166666666666667
"FUJITSU LTD","TOKIN CORP",1,1
"FUJITSU LTD","TOKORO YASUYUKI",4,0.25
"FUJITSU LTD","TOKUDA TOSHINORI",1,1
"FUJITSU LTD","TOMA KIYOKAZU",1,1
"FUJITSU LTD","Tomoda, Daisuke",7,0.142857142857143
"FUJITSU LTD","TOMOTA DAISUKE",5,0.2
"FUJITSU LTD","TONG WILLIAM",1,1
"FUJITSU LTD","TOPPAN PRINTING CO LTD",5,0.2
"FUJITSU LTD","TOPPING CATHERINE",2,0.5
"FUJITSU LTD","TORIGOE MAKOTO",1,1
"FUJITSU LTD","TOSHIBA CORP",28,0.0357142857142857
"FUJITSU LTD","TOSHIBA SOLUTIONS CORP",4,0.25
"FUJITSU LTD","Toshiba Solutions Corporation",3,0.333333333333333
"FUJITSU LTD","TOSHIBA TEC CORP",1,1
"FUJITSU LTD","TOSHIMA TETSUO",1,1
"FUJITSU LTD","TOYAMA KAZUMASA",1,1
"FUJITSU LTD","TOYODA HARUYOSHI",1,1
"FUJITSU LTD","TOYOTA MOTOR CORP",5,0.2
"FUJITSU LTD","TOZAKI TOSHIHIRO",3,0.333333333333333
"FUJITSU LTD","TRAJKOVIC MIROSLAV",1,1
"FUJITSU LTD","Trauberg, Markus",3,0.333333333333333
"FUJITSU LTD","Trek 2000 International Ltd.",12,0.0833333333333333
"FUJITSU LTD","TREK 2000 INTERNATIONAL LTD.",1,1
"FUJITSU LTD","Tresser, Charles Philippe",1,1
"FUJITSU LTD","Trevathan, Matthew B.",1,1
"FUJITSU LTD","Tri-D Systems, Inc.",1,1
"FUJITSU LTD","Triad Biometrics, LLC",3,0.333333333333333
"FUJITSU LTD","Trotte, Andy Lloyd",1,1
"FUJITSU LTD","TRW INC",1,1
"FUJITSU LTD","TRW Inc.",7,0.142857142857143
"FUJITSU LTD","TSUCHIYA MASAKI",2,0.5
"FUJITSU LTD","TSUCHIYA RYOSUKE",1,1
"FUJITSU LTD","TSUDA JUNICHI",2,0.5
"FUJITSU LTD","TSUJI HIROSATO",1,1
"FUJITSU LTD","TSUKADA MITSUYOSHI",1,1
"FUJITSU LTD","TSUKAMOTO UHEI",1,1
"FUJITSU LTD","Tsukamoto, Uhei",3,0.333333333333333
"FUJITSU LTD","Tsukidate, Ryota",1,1
"FUJITSU LTD","TSUNASHIMA HIROSHI",4,0.25
"FUJITSU LTD","TSURIBE SATOYUKI",6,0.166666666666667
"FUJITSU LTD","TSURUSAWA MAKOTO",1,1
"FUJITSU LTD","TUMEY DAVID M.",1,1
"FUJITSU LTD","Tumey, David M.",4,0.25
"FUJITSU LTD","Turner, Steven E.",2,0.5
"FUJITSU LTD","Tuyls, Pim Theo",1,1
"FUJITSU LTD","U.S. Philips Corporation",1,1
"FUJITSU LTD","UBERTI JAMES",2,0.5
"FUJITSU LTD","UCHIDA KAORU",29,0.0344827586206897
"FUJITSU LTD","UCHIDA NAOYA",6,0.166666666666667
"FUJITSU LTD","Uchida, Kaoru",10,0.1
"FUJITSU LTD","Uchida, Naoya",4,0.25
"FUJITSU LTD","UDA SATOSHI",5,0.2
"FUJITSU LTD","UEDA RIRI",1,1
"FUJITSU LTD","UEDA TAKASHI",1,1
"FUJITSU LTD","UEDA TAKESHI",1,1
"FUJITSU LTD","UEDA YUKIKO",1,1
"FUJITSU LTD","Ueda, Takashi",2,0.5
"FUJITSU LTD","UEKI CHIHIRO",6,0.166666666666667
"FUJITSU LTD","UEKI HIRONORI",2,0.5
"FUJITSU LTD","Ueki, Hironori",7,0.142857142857143
"FUJITSU LTD","Ultra-Scan Corporation",1,1
"FUJITSU LTD","UMEBAYASHI NOBUHIRO",2,0.5
"FUJITSU LTD","UMEMURA MASAYA",1,1
"FUJITSU LTD","UMEMURA SHINICHIRO",7,0.142857142857143
"FUJITSU LTD","Umemura, Shin-ichiro",6,0.166666666666667
"FUJITSU LTD","UMEZAKI TAIZOU",2,0.5
"FUJITSU LTD","Umezaki, Taizo",8,0.125
"FUJITSU LTD","UMEZAWA, Katsuyuki",3,0.333333333333333
"FUJITSU LTD","Unirec Co., Ltd.",1,1
"FUJITSU LTD","Unisys Corporation",3,0.333333333333333
"FUJITSU LTD","UNIV OF TSUKUBA",2,0.5
"FUJITSU LTD","UNIV WASEDA",1,1
"FUJITSU LTD","Universal Robot Kabushiki Kaisha",1,1
"FUJITSU LTD","University of Alaska",1,1
"FUJITSU LTD","University of Massachusetts Lowell",4,0.25
"FUJITSU LTD","UNNO HIDEYUKI",1,1
"FUJITSU LTD","Uno, Kazuya",9,0.111111111111111
"FUJITSU LTD","UNO, Kazuya",2,0.5
"FUJITSU LTD","UOMORI KENYA",1,1
"FUJITSU LTD","Uomori, Kenya",1,1
"FUJITSU LTD","UPEK Inc.",1,1
"FUJITSU LTD","Uppaluru, Premkumar V.",1,1
"FUJITSU LTD","Upton, Eric L.",2,0.5
"FUJITSU LTD","USAMI TERUO",1,1
"FUJITSU LTD","UTSUNOMIYA YASUO",3,0.333333333333333
"FUJITSU LTD","Validity Sensors, Inc.",1,1
"FUJITSU LTD","Vaughan, Jack",1,1
"FUJITSU LTD","Venkatesan, Ramarathnam",1,1
"FUJITSU LTD","Vetro, Anthony",1,1
"FUJITSU LTD","VICTOR CO OF JAPAN LTD",1,1
"FUJITSU LTD","VIISAGE TECHNOLOGY, INC.",1,1
"FUJITSU LTD","Villa-Real, Antony-Euclid C.",1,1
"FUJITSU LTD","VISA INTERNATIONAL SERVICE ASSOCIATION",3,0.333333333333333
"FUJITSU LTD","Vois Corporation",1,1
"FUJITSU LTD","VOLTMER WILLIAM H.",2,0.5
"FUJITSU LTD","VSS Veranstaltungs Sicherheits-Systeme GmbH",3,0.333333333333333
"FUJITSU LTD","WABGAONKAR HARSHAWARDHAN",2,0.5
"FUJITSU LTD","WADA JOJI",1,1
"FUJITSU LTD","Wadayama, Yutaka",1,1
"FUJITSU LTD","WAKABAYASHI AKIRA",1,1
"FUJITSU LTD","WAKABAYASHI KATSUHIKO",3,0.333333333333333
"FUJITSU LTD","WAKAMORI MASAHIRO",1,1
"FUJITSU LTD","Wakamori, Masahiro",4,0.25
"FUJITSU LTD","WAKIYAMA KOJI",8,0.125
"FUJITSU LTD","WAKUI KAZUNORI",1,1
"FUJITSU LTD","Walia, Guri",1,1
"FUJITSU LTD","Walia; Guri",1,1
"FUJITSU LTD","WANG LI",2,0.5
"FUJITSU LTD","WANG LIFENG",1,1
"FUJITSU LTD","WANG PO-TONG",1,1
"FUJITSU LTD","WANG, He",1,1
"FUJITSU LTD","Wang, Jian",1,1
"FUJITSU LTD","Ward, James Peter",2,0.5
"FUJITSU LTD","Ware, Karl Roger",3,0.333333333333333
"FUJITSU LTD","Washington University",1,1
"FUJITSU LTD","WASHINGTON UNIVERSITY",1,1
"FUJITSU LTD","Washington, Valdemar L.",1,1
"FUJITSU LTD","Washington; Valdemar L.",1,1
"FUJITSU LTD","WATANABE JUN",1,1
"FUJITSU LTD","WATANABE KEISUKE",8,0.125
"FUJITSU LTD","WATANABE KOICHI",1,1
"FUJITSU LTD","WATANABE MASAHIRO",1,1
"FUJITSU LTD","WATANABE MASAKI",2,0.5
"FUJITSU LTD","WATANABE MASANORI",3,0.333333333333333
"FUJITSU LTD","WATANABE MASARU",3,0.333333333333333
"FUJITSU LTD","Watanabe, Keisuke",11,0.0909090909090909
"FUJITSU LTD","Watanabe, Masaki",10,0.1
"FUJITSU LTD","WAWROWSKI, MARIUSZ R.",1,1
"FUJITSU LTD","Weedn, Victor Walter",2,0.5
"FUJITSU LTD","Wei, Jiwei",2,0.5
"FUJITSU LTD","Wendt, Barry M.",1,1
"FUJITSU LTD","WENS NETWORK KK",2,0.5
"FUJITSU LTD","WHITE CONOR",2,0.5
"FUJITSU LTD","White, Jr., Wesley Jack",1,1
"FUJITSU LTD","Wiebe, Linus",2,0.5
"FUJITSU LTD","Wildman, Kelvin H.",2,0.5
"FUJITSU LTD","Wilkins, Debbie L.",1,1
"FUJITSU LTD","Will, Craig A.",1,1
"FUJITSU LTD","Williams, Daryl",2,0.5
"FUJITSU LTD","Willis, William Frederic",7,0.142857142857143
"FUJITSU LTD","Windisch, Claudia",2,0.5
"FUJITSU LTD","Wirtz, Brigitte",1,1
"FUJITSU LTD","Wise, David DuWayne",1,1
"FUJITSU LTD","WISNIEWSKI HELENA",1,1
"FUJITSU LTD","Wittig, Benedict A.",1,1
"FUJITSU LTD","Wolf, Dean E.",1,1
"FUJITSU LTD","Wolman, Alastair",1,1
"FUJITSU LTD","Wong, Jacob Y.",1,1
"FUJITSU LTD","Wong, Joseph D.",1,1
"FUJITSU LTD","Wong, Stephen",4,0.25
"FUJITSU LTD","Wong, Tin-Lup",1,1
"FUJITSU LTD","Wood, Richard Glee",1,1
"FUJITSU LTD","WU SHENG-MING",1,1
"FUJITSU LTD","Wu, Qiang",1,1
"FUJITSU LTD","Wu, Xiangqian",5,0.2
"FUJITSU LTD","Wuidart, Luc",1,1
"FUJITSU LTD","Xerox Corporation",1,1
"FUJITSU LTD","Xia, Tao",1,1
"FUJITSU LTD","XU TIANNING",1,1
"FUJITSU LTD","Xu, Beilei",1,1
"FUJITSU LTD","Xu, Tianning",4,0.25
"FUJITSU LTD","Xu, Xiaoshu",1,1
"FUJITSU LTD","Yabuki, Maki",2,0.5
"FUJITSU LTD","YAGI KEITA",2,0.5
"FUJITSU LTD","Yahoo! Inc.",2,0.5
"FUJITSU LTD","YAMADA HIROYASU",1,1
"FUJITSU LTD","YAMADA MASAAKI",2,0.5
"FUJITSU LTD","YAMADA SHIGEFUMI",6,0.166666666666667
"FUJITSU LTD","YAMADA TOMOHIKO",4,0.25
"FUJITSU LTD","Yamada, Asahiko",3,0.333333333333333
"FUJITSU LTD","Yamada, Shigefumi",26,0.0384615384615385
"FUJITSU LTD","Yamagishi, Junichi",1,1
"FUJITSU LTD","YAMAGUCHI HIROSHI",2,0.5
"FUJITSU LTD","YAMAGUCHI MASAHIKO",5,0.2
"FUJITSU LTD","YAMAGUCHI SEIJI",2,0.5
"FUJITSU LTD","Yamaguchi, Masahiko",6,0.166666666666667
"FUJITSU LTD","Yamaguchi, Yoshiaki",3,0.333333333333333
"FUJITSU LTD","Yamaguchi, Yoshinori",1,1
"FUJITSU LTD","Yamaha Corporation",1,1
"FUJITSU LTD","YAMAHA CORPORATION",2,0.5
"FUJITSU LTD","YAMAKITA OSAMU",3,0.333333333333333
"FUJITSU LTD","YAMAMOTO ETSUJI",1,1
"FUJITSU LTD","YAMAMOTO HIDEO",4,0.25
"FUJITSU LTD","YAMAMOTO KAZUYA",5,0.2
"FUJITSU LTD","YAMAMOTO KEIJI",1,1
"FUJITSU LTD","YAMAMOTO SEIICHI",1,1
"FUJITSU LTD","YAMAMOTO YASUHIRO",2,0.5
"FUJITSU LTD","Yamamoto, Kazuya",7,0.142857142857143
"FUJITSU LTD","Yamamoto, Kei",1,1
"FUJITSU LTD","Yamamoto, Kenji",1,1
"FUJITSU LTD","Yamamoto, Makoto",1,1
"FUJITSU LTD","YAMAMURA KAZUO",1,1
"FUJITSU LTD","YAMAMURA KAZUTOSHI",2,0.5
"FUJITSU LTD","YAMANAKA HIROMITSU",1,1
"FUJITSU LTD","YAMANAKA YUJI",2,0.5
"FUJITSU LTD","YAMASHITA HIROSHI",1,1
"FUJITSU LTD","YAMASHITA KOHEI",1,1
"FUJITSU LTD","YAMASHITA TAKAYOSHI",2,0.5
"FUJITSU LTD","YAMATAKE CORP",2,0.5
"FUJITSU LTD","Yamatake Corporation",1,1
"FUJITSU LTD","Yamato, Hiroshi",1,1
"FUJITSU LTD","YAMAZAKI YUKI",1,1
"FUJITSU LTD","Yamazaki, Junichi",1,1
"FUJITSU LTD","Yang, Ae Kyung",3,0.333333333333333
"FUJITSU LTD","YANO MASAYUKI",6,0.166666666666667
"FUJITSU LTD","Yano, Masayuki",15,0.0666666666666667
"FUJITSU LTD","YASUDA NOBUYUKI",1,1
"FUJITSU LTD","Yasuda, Seigou",1,1
"FUJITSU LTD","YASUE TSUKASA",5,0.2
"FUJITSU LTD","Yasue, Tsukasa",3,0.333333333333333
"FUJITSU LTD","YASUHIDA YOMO",1,1
"FUJITSU LTD","Yau, Shing-Tung",2,0.5
"FUJITSU LTD","YE FENGPING",1,1
"FUJITSU LTD","Yew Tham, Jo",1,1
"FUJITSU LTD","YING YONGJIU",1,1
"FUJITSU LTD","Yokobori, Michiru",4,0.25
"FUJITSU LTD","YOKOI HIROKI",4,0.25
"FUJITSU LTD","Yokoi, Hironori",1,1
"FUJITSU LTD","YOKOYAMA KEN",4,0.25
"FUJITSU LTD","YOKOYAMA TADASHI",1,1
"FUJITSU LTD","Yokoyama, Shingo",1,1
"FUJITSU LTD","Yomo, Yasuhide",2,0.5
"FUJITSU LTD","YONAHA MAKOTO",3,0.333333333333333
"FUJITSU LTD","YONEDA TAKESHI",1,1
"FUJITSU LTD","YOO, GI SEON",1,1
"FUJITSU LTD","YOO, GI YEONG",1,1
"FUJITSU LTD","Yoo, Wi-Hyun",2,0.5
"FUJITSU LTD","Yoon, Ho-Sub",1,1
"FUJITSU LTD","YOON, JUN SEONG",1,1
"FUJITSU LTD","Yoon, Tae-ho",1,1
"FUJITSU LTD","YOSHIDA KANAME",1,1
"FUJITSU LTD","YOSHIDA KAORU",2,0.5
"FUJITSU LTD","YOSHIDA YUKI",1,1
"FUJITSU LTD","Yoshida, Takashi",1,1
"FUJITSU LTD","YOSHIFUKU TAKASHI",3,0.333333333333333
"FUJITSU LTD","YOSHIKAWA HIROSHI",1,1
"FUJITSU LTD","Yoshikawa, Seiji",1,1
"FUJITSU LTD","Yoshimine, Tatsuki",3,0.333333333333333
"FUJITSU LTD","YOSHINAGA, Tomoaki",3,0.333333333333333
"FUJITSU LTD","Yoshioka, Yasuo",3,0.333333333333333
"FUJITSU LTD","YOSHITAKE ATSUSHI",1,1
"FUJITSU LTD","YOSHIURA NORIAKI",2,0.5
"FUJITSU LTD","Yoshiura, Noriaki",2,0.5
"FUJITSU LTD","YOSIKAWA MITSUHIRO",2,0.5
"FUJITSU LTD","You, Jia Jane",5,0.2
"FUJITSU LTD","Young, R. Reed",1,1
"FUJITSU LTD","Young, Robert D.",1,1
"FUJITSU LTD","Young; R. Reed",1,1
"FUJITSU LTD","YOZAN INC.",1,1
"FUJITSU LTD","YT Acquisition Corporation",1,1
"FUJITSU LTD","YTB:KK",1,1
"FUJITSU LTD","Yu, Yuan-Pin",4,0.25
"FUJITSU LTD","YUHARA MASAHIRO",2,0.5
"FUJITSU LTD","Yung, Kitty Yu-Ling",1,1
"FUJITSU LTD","Zachia-Zlatea, Irina",1,1
"FUJITSU LTD","Zadesky, Stephen",1,1
"FUJITSU LTD","ZHANG NENGFENG",2,0.5
"FUJITSU LTD","Zhang, Chunhui",1,1
"FUJITSU LTD","Zhang, Dapeng David",5,0.2
"FUJITSU LTD","ZHANG, David",3,0.333333333333333
"FUJITSU LTD","Zhang, David Dapeng",2,0.5
"FUJITSU LTD","Zhang, George Z.H.",2,0.5
"FUJITSU LTD","Zhang, Hengyi",4,0.25
"FUJITSU LTD","Zhang, Lei",2,0.5
"FUJITSU LTD","Zhang, Liyan",1,1
"FUJITSU LTD","Zhang, Xiaoyu",2,0.5
"FUJITSU LTD","Zhang, Zhiwu",2,0.5
"FUJITSU LTD","ZHAO YILIN",2,0.5
"FUJITSU LTD","ZHEJIANG JINZHIMA TECHNOLOGY CO., LTD.",1,1
"FUJITSU LTD","Zheng, Zhibin",2,0.5
"FUJITSU LTD","ZHICHUN ZHOU",1,1
"FUJITSU LTD","Zicker, Robert G.",1,1
"FUJITSU LTD","Zimmerman, Thomas Guthrie",6,0.166666666666667
"FUJITSU LTD","Zmuda, Paul E.",1,1
"FUJITSU LTD","Zou, Le",1,1
"FUJITSU LTD","ZSOLNAY DENES L",1,1
"FUJITSU LTD","Zubeldia, Pedro (Kepa)",1,1
"FUJITSU LTD","Zyzdryn, Gregory",1,1
"Fujiwara, Kiyotaka","Samsung",1,1
"Fujiwara, Masako","FUJITSU LTD",4,0.25
"Fujjitsu Limited","FUJITSU LTD",3,0.333333333333333
"Fujjitsu Limited","LG CO.",1,1
"FUKAGAI TAKUYA","NEC Co.",1,1
"FUKUDA KEISHI","NEC Co.",1,1
"FUKUDA MITSUAKI","FUJITSU LTD",5,0.2
"FUKUDA MITSUAKI","SONY",1,1
"Fukuda, Keiji","NEC Co.",1,1
"Fukuda, Mitsuaki","Canon",3,0.333333333333333
"Fukuda, Mitsuaki","FUJITSU LTD",34,0.0294117647058824
"Fukuda, Mitsuaki","Hitachi, Ltd.",5,0.2
"Fukuda, Mitsuaki","Microsoft Co.",1,1
"Fukuda, Mitsuaki","NEC Co.",8,0.125
"Fukuda, Mitsuaki","Samsung",3,0.333333333333333
"Fukuda, Mitsuaki","SONY",11,0.0909090909090909
"FUKUDA, Mitsuaki","FUJITSU LTD",11,0.0909090909090909
"FUKUDA, Mitsuaki","NEC Co.",1,1
"FUKUDA, Mitsuaki","Samsung",1,1
"FUKUDA, Mitsuaki","SONY",2,0.5
"FUKUSHIMA SHINICHIRO","NEC Co.",2,0.5
"FULMER, CHRISTOPHER R.","Qualcomm Inc.",1,1
"Fulmer, Christopher Robert","Honeywell International Inc.",2,0.5
"Fulmer, Christopher Robert","LG CO.",1,1
"FUNABASHI TAKESHI","SONY",1,1
"Funahashi, Takeshi","Intel Co.",1,1
"Funahashi, Takeshi","NEC Co.",1,1
"Funahashi, Takeshi","SONY",2,0.5
"FUNAYAMA OSAMU","NEC Co.",1,1
"Funayama, Osamu","NEC Co.",2,0.5
"Funayama, Osamu","Samsung",1,1
"FUNG KIN C","SONY",1,1
"Furman, Daniel Selig","AT&T Intellectual Property",1,1
"Furness, III, Thomas A.","SONY",1,1
"Furness, III, Thomas Adrian","SONY",2,0.5
"Fursenko, Alexander","Apple Inc.",1,1
"Furth, David A.","NEC Co.",1,1
"Futa, Yuichi","Panasonic",1,1
"FUTAIHUA INDUSTRY (SHENZHEN) CO., LTD.","Apple Inc.",1,1
"FUTAIHUA INDUSTRY (SHENZHEN) CO., LTD.","Samsung",1,1
"FUTAIHUA INDUSTRY (SHENZHEN) CO., LTD.","SONY",1,1
"FuturePlay, Inc.","LG CO.",1,1
"FUZHOU FUFENG TECHNOLOGY CO., LTD.","Canon",1,1
"FUZHOU FUFENG TECHNOLOGY CO., LTD.","Honeywell International Inc.",1,1
"FUZHOU ROCKCHIP SEMICONDUCTOR CO., LTD.","Microsoft Co.",1,1
"Fyke, Steven H.","FUJITSU LTD",3,0.333333333333333
"Fyke, Steven Henry","Intel Co.",1,1
"Gabel, David M.","Hitachi, Ltd.",1,1
"Gabriel, Michael Lynn","Microsoft Co.",1,1
"Gabriel, Michael Lynn","SONY",1,1
"Gadda, Christian E.","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",5,0.2
"GADDE, Ravindra","LG CO.",2,0.5
"Gamo, Tatsuya","NEC Co.",1,1
"Gandhi, Ashish R.","Intel Co.",1,1
"Gandhi, Saumil Ashvin","Qualcomm Inc.",1,1
"Ganesh, Meena","Honeywell International Inc.",1,1
"Gangea, Mihnea","Google Inc.",1,1
"Gangea, Mihnea","Intel Co.",2,0.5
"Gangea, Mihnea","Samsung",1,1
"GANNON CIARAN","SONY",1,1
"Ganong, III, William F.","FUJITSU LTD",2,0.5
"Ganong, III, William F.","Intel Co.",4,0.25
"GAO LIAN","Hitachi, Ltd.",1,1
"GAO LIANG","Intel Co.",1,1
"GAO SONGBO","Samsung",1,1
"GAO XIAOLONG","Panasonic",1,1
"GAO YINJIA","LG CO.",1,1
"Gao, Feng","FUJITSU LTD",1,1
"Gao, Hongtao","Digimarc Corporation",1,1
"Gao, Jian","Boe Technology Group Co.",1,1
"Garay, Juan A.","FUJITSU LTD",1,1
"Garcia-Shelton, Tussanee","SONY",1,1
"Garcia Gomar, Marta","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"Garcia Gomar, Marta","Intel Co.",1,1
"Garcia Molina, Gary Nelson","Intel Co.",1,1
"Garcia Molina, Gary Nelson","Samsung",1,1
"Garcia, David Harry","Google Inc.",1,1
"Gardiner, Michael","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"Gardiner, Michael","Intel Co.",1,1
"Gardiner, Michael D.","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",19,0.0526315789473684
"Gardner, Richard Mervyn","Digimarc Corporation",1,1
"Gardner, Richard Mervyn","Honeywell International Inc.",1,1
"Gardner, Terry W.","FUJITSU LTD",1,1
"Garg, Gaurav","NEC Co.",1,1
"Garg, Shalin","Digimarc Corporation",1,1
"Garg, Shalin","ETRI",1,1
"Garg, Shalin","Intel Co.",1,1
"Garrett, Frank","FUJITSU LTD",1,1
"Garrett, Michael C.","FUJITSU LTD",1,1
"Garrison, Jane Ransom","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"Gates, III, William H.","Microsoft Co.",1,1
"Gates, William","Microsoft Co.",17,0.0588235294117647
"Gavalda, Marsal","Samsung",1,1
"Gavito, JR., Valentin Francisco","Canon",1,1
"Gavito, JR., Valentin Francisco","FUJITSU LTD",2,0.5
"Gavito, JR., Valentin Francisco","Honeywell International Inc.",1,1
"Gayde, Ruth S.","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"Gazdzinski, Robert F.","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"Gazit, Ran Yehoshua","FUJITSU LTD",1,1
"Gazit, Ran Yehoshua","Intel Co.",3,0.333333333333333
"GE FEI","LG CO.",1,1
"GE FEI","Samsung",1,1
"GE HAO","ETRI",1,1
"GE HAO","Samsung",1,1
"GE HUI","Apple Inc.",1,1
"GE QI","Panasonic",1,1
"GE SHENGQIANG","ETRI",1,1
"Ge, Jun","Google Inc.",1,1
"Geenee UG (haftungsbeschraenkt)","Google Inc.",4,0.25
"Gejji, Pushkaraksha","Intel Co.",1,1
"Gejji, Pushkaraksha","Qualcomm Inc.",2,0.5
"Gell, David","Panasonic",1,1
"Gemalto SA","Qualcomm Inc.",1,1
"Gemalto SA","SONY",1,1
"Gemplus","FUJITSU LTD",4,0.25
"General Electric Company","Google Inc.",1,1
"General Electric Company","Hitachi, Ltd.",1,1
"General Electric Company","Honeywell International Inc.",2,0.5
"General Electric Company","LG CO.",1,1
"General Electric Company","Microsoft Co.",2,0.5
"General Electric Company","Panasonic",3,0.333333333333333
"GENERAL INTERFACE SOLUTION LIMITED","Boe Technology Group Co.",1,1
"GENERAL INTERFACE SOLUTION LIMITED","FUJITSU LTD",1,1
"GENERAL INTERFACE SOLUTION LTD.","Intel Co.",1,1
"Genkey Netherlands B.V.","Hitachi, Ltd.",1,1
"Geoffroy, David Joseph","FUJITSU LTD",4,0.25
"Geoffroy, David Joseph","Intel Co.",4,0.25
"Geoffroy, David Joseph","NEC Co.",8,0.125
"Geometric Informatics, Inc.","FUJITSU LTD",2,0.5
"GEOMETRIC INFORMATICS, INC.","FUJITSU LTD",1,1
"George, Kurian","Microsoft Co.",1,1
"Gerber, Stephen C.","FUJITSU LTD",1,1
"Gerber, Stephen Charles","Hitachi, Ltd.",2,0.5
"Gerber, Stephen Charles","LG CO.",5,0.2
"Gerber, Stephen Charles","Microsoft Co.",1,1
"GERLACH FRANK","NEC Co.",1,1
"Gerlach, Frank","NEC Co.",1,1
"Gerlach, Frank","Samsung",4,0.25
"Gerrity, Daniel A.","FUJITSU LTD",5,0.2
"Gerrity, Daniel A.","Qualcomm Inc.",1,1
"Gervais, Stephane","Canon",2,0.5
"Gervais, Stephane","FUJITSU LTD",2,0.5
"Gervais, Stephane","Intel Co.",6,0.166666666666667
"Geva, Amir","Hitachi, Ltd.",4,0.25
"Gharaat, Amir H.","Digimarc Corporation",4,0.25
"Ghosh, Debajit","Google Inc.",4,0.25
"Ghosh, Debashis","FUJITSU LTD",2,0.5
"Ghosh, Debashis","Honeywell International Inc.",2,0.5
"Ghosh, Debashis","Microsoft Co.",3,0.333333333333333
"Ghosh, Debashis","Panasonic",2,0.5
"Ghosh, Debashis","Samsung",1,1
"Ghosh, Debashis","SONY",1,1
"Gierke, Justin","NEC Co.",1,1
"Giesecke & Devrient GmbH","Canon",1,1
"Gieselman, Neal Joseph","FUJITSU LTD",2,0.5
"GIGA-BYTE TECHNOLOGY CO., LTD.","FUJITSU LTD",1,1
"Gil, Laurent","Google Inc.",1,1
